start,node,c,access,out_degree,dist_from_start,auth_fail_rate,remote_ratio,contribution_pct,rtt_cost_A_ms,rtt_cost_B_ms,rtt_cost_C_ms
0,0,179,262,11,0,0.0,0.3092,4.343605920892987,6981.0,13067.0,24881.0
0,4,35,69,38,1,0.0,0.4783,0.8493084202863382,1365.0,2555.0,4865.0
0,edge_0_2,34,0,0,-1,0.0,0.0,0.8250424654210143,1326.0,2482.0,4726.0
0,2,32,66,10,1,0.0,0.5,0.7765105556903664,1248.0,2336.0,4448.0
0,9,31,64,32,1,0.0,0.4844,0.7522446008250425,1209.0,2263.0,4309.0
0,10,30,58,25,1,0.0,0.4828,0.7279786459597185,1170.0,2190.0,4170.0
0,3,30,60,10,1,0.0,0.5,0.7279786459597185,1170.0,2190.0,4170.0
0,edge_0_1,30,0,0,-1,0.0,0.0,0.7279786459597185,1170.0,2190.0,4170.0
0,369684,25,50,7,1,0.0,0.5,0.6066488716330988,975.0,1825.0,3475.0
0,6,23,45,29,1,0.0,0.4889,0.5581169619024509,897.0,1679.0,3197.0
0,edge_0_369684,23,0,0,-1,0.0,0.0,0.5581169619024509,897.0,1679.0,3197.0
0,5,20,40,32,1,0.0,0.5,0.485319097306479,780.0,1460.0,2780.0
0,edge_0_10,20,0,0,-1,0.0,0.0,0.485319097306479,780.0,1460.0,2780.0
0,edge_0_3,19,0,0,-1,0.0,0.0,0.4610531424411551,741.0,1387.0,2641.0
0,48,18,34,28,2,0.0,0.4706,0.4367871875758311,702.0,1314.0,2502.0
0,7,16,31,14,1,0.0,0.4839,0.3882552778451832,624.0,1168.0,2224.0
0,155588,16,31,10,8,0.0,0.4839,0.3882552778451832,624.0,1168.0,2224.0
0,edge_0_9,16,0,0,-1,0.0,0.0,0.3882552778451832,624.0,1168.0,2224.0
0,399156,14,28,9,4,0.0,0.5,0.3397233681145353,546.0,1022.0,1946.0
0,edge_0_7,14,0,0,-1,0.0,0.0,0.3397233681145353,546.0,1022.0,1946.0
0,314525,13,26,11,4,0.0,0.5,0.31545741324921134,507.0,949.0,1807.0
0,5287,13,26,11,3,0.0,0.5,0.31545741324921134,507.0,949.0,1807.0
0,edge_0_4,13,0,0,-1,0.0,0.0,0.31545741324921134,507.0,949.0,1807.0
0,155582,12,24,10,7,0.0,0.5,0.2911914583838874,468.0,876.0,1668.0
0,442,11,20,14,4,0.0,0.45,0.2669255035185635,429.0,803.0,1529.0
0,290535,11,22,8,6,0.0,0.5,0.2669255035185635,429.0,803.0,1529.0
0,edge_2_3,11,0,0,-1,0.0,0.0,0.2669255035185635,429.0,803.0,1529.0
0,319905,10,19,10,3,0.0,0.4737,0.2426595486532395,390.0,730.0,1390.0
0,216908,10,20,10,8,0.0,0.5,0.2426595486532395,390.0,730.0,1390.0
0,392938,10,20,6,2,0.0,0.5,0.2426595486532395,390.0,730.0,1390.0
0,13894,10,20,7,15,0.0,0.5,0.2426595486532395,390.0,730.0,1390.0
0,2494,10,20,6,5,0.0,0.5,0.2426595486532395,390.0,730.0,1390.0
0,300,10,20,7,2,0.0,0.5,0.2426595486532395,390.0,730.0,1390.0
0,278452,10,20,8,5,0.0,0.5,0.2426595486532395,390.0,730.0,1390.0
0,edge_0_6,10,0,0,-1,0.0,0.0,0.2426595486532395,390.0,730.0,1390.0
0,edge_0_5,10,0,0,-1,0.0,0.0,0.2426595486532395,390.0,730.0,1390.0
0,120537,9,18,4,5,0.0,0.5,0.21839359378791556,351.0,657.0,1251.0
0,229878,9,17,9,4,0.0,0.4706,0.21839359378791556,351.0,657.0,1251.0
0,176340,9,18,5,3,0.0,0.5,0.21839359378791556,351.0,657.0,1251.0
0,edge_120537_259173,9,0,0,-1,0.0,0.0,0.21839359378791556,351.0,657.0,1251.0
0,edge_312540_314578,9,0,0,-1,0.0,0.0,0.21839359378791556,351.0,657.0,1251.0
0,251935,8,15,5,8,0.0,0.4667,0.1941276389225916,312.0,584.0,1112.0
0,1035,8,16,10,2,0.0,0.5,0.1941276389225916,312.0,584.0,1112.0
0,393093,8,14,7,2,0.0,0.4286,0.1941276389225916,312.0,584.0,1112.0
0,13806,8,15,8,5,0.0,0.4667,0.1941276389225916,312.0,584.0,1112.0
0,35572,8,16,6,7,0.0,0.5,0.1941276389225916,312.0,584.0,1112.0
0,46,7,14,11,2,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,319902,7,14,4,4,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,155581,7,14,9,7,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,108,7,14,12,2,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,30433,7,14,10,3,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,26579,7,14,6,6,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,26580,7,12,6,5,0.0,0.4167,0.16986168405726765,273.0,511.0,973.0
0,30180,7,14,7,5,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,172794,7,14,6,7,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,54,7,13,13,2,0.0,0.4615,0.16986168405726765,273.0,511.0,973.0
0,363883,7,14,6,2,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,306678,7,12,6,6,0.0,0.4167,0.16986168405726765,273.0,511.0,973.0
0,156348,7,14,5,7,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,222856,7,13,9,3,0.0,0.4615,0.16986168405726765,273.0,511.0,973.0
0,299783,7,14,6,15,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,301516,7,14,7,16,0.0,0.5,0.16986168405726765,273.0,511.0,973.0
0,edge_1_2,7,0,0,-1,0.0,0.0,0.16986168405726765,273.0,511.0,973.0
0,edge_369684_392938,7,0,0,-1,0.0,0.0,0.16986168405726765,273.0,511.0,973.0
0,314526,6,12,7,4,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,12516,6,12,6,3,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,259173,6,12,2,6,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,155587,6,11,8,8,0.0,0.4545,0.1455957291919437,234.0,438.0,834.0
0,155586,6,12,7,8,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,155583,6,12,6,7,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,267805,6,11,7,4,0.0,0.4545,0.1455957291919437,234.0,438.0,834.0
0,312540,6,12,4,9,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,314578,6,12,1,10,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,168784,6,12,6,12,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,6609,6,9,5,5,0.0,0.3333,0.1455957291919437,234.0,438.0,834.0
0,344838,6,12,5,9,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,150431,6,11,5,17,0.0,0.4545,0.1455957291919437,234.0,438.0,834.0
0,168277,6,12,6,3,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,30756,6,12,8,4,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,7609,6,14,9,5,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,26577,6,12,7,5,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,28818,6,12,6,6,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,11404,6,11,9,5,0.0,0.4545,0.1455957291919437,234.0,438.0,834.0
0,561,6,13,5,8,0.0,0.4615,0.1455957291919437,234.0,438.0,834.0
0,61,6,12,7,5,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,6610,6,12,7,9,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,37163,6,12,6,14,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,62791,6,12,5,7,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,106257,6,12,6,6,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,322688,6,12,5,3,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,67029,6,12,7,3,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,311769,6,12,4,6,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,161183,6,12,3,14,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,301515,6,12,8,16,0.0,0.5,0.1455957291919437,234.0,438.0,834.0
0,edge_399156_401146,6,0,0,-1,0.0,0.0,0.1455957291919437,234.0,438.0,834.0
0,391479,6,6,5,2,0.0,1.0,0.1455957291919437,234.0,438.0,834.0
0,319901,5,9,5,4,0.0,0.4444,0.12132977432661975,195.0,365.0,695.0
0,126080,5,10,9,8,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,235,5,10,6,2,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,5291,5,10,6,3,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,1916,5,10,6,6,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,41,5,10,6,4,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,118,5,10,12,2,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,304,5,8,6,5,0.0,0.375,0.12132977432661975,195.0,365.0,695.0
0,312498,5,10,4,10,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,30758,5,9,5,6,0.0,0.4444,0.12132977432661975,195.0,365.0,695.0
0,28820,5,10,6,6,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,26578,5,10,6,6,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,1058,5,10,6,4,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,289183,5,10,5,2,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,289184,5,9,5,4,0.0,0.4444,0.12132977432661975,195.0,365.0,695.0
0,398148,5,10,5,7,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,105668,5,10,3,9,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,155356,5,10,4,3,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,16304,5,10,5,5,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,249692,5,10,6,5,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,191679,5,10,5,3,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,395211,5,10,5,3,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,393750,5,10,5,4,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,163764,5,10,6,5,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,4351,5,10,6,5,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,301517,5,10,5,16,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,387406,5,10,4,4,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,224780,5,10,6,3,0.0,0.5,0.12132977432661975,195.0,365.0,695.0
0,edge_5287_5291,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_3_4,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_155588_276746,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_5287_392938,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_3_235,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_251935_282179,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_36047_68840,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_176340_271708,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,edge_109_369684,5,0,0,-1,0.0,0.0,0.12132977432661975,195.0,365.0,695.0
0,35745,5,5,7,6,0.0,1.0,0.12132977432661975,195.0,365.0,695.0
0,319903,4,8,5,4,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,8,4,4,6,1,0.0,0.0,0.0970638194612958,156.0,292.0,556.0
0,44,4,8,9,2,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,58,4,7,6,2,0.0,0.4286,0.0970638194612958,156.0,292.0,556.0
0,88497,4,8,6,4,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,275922,4,8,4,2,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,256394,4,8,6,6,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,155585,4,8,6,7,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,283487,4,8,4,8,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,84143,4,8,4,8,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,178633,4,8,2,9,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,edge_6607_6609,4,0,0,-1,0.0,0.0,0.0970638194612958,156.0,292.0,556.0
0,83911,4,8,4,3,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,5289,4,8,7,3,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,7193,4,8,4,3,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,52336,4,8,4,2,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,385378,4,8,4,3,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,282179,4,8,4,8,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,306750,4,8,3,8,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,276,4,8,5,5,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,15418,4,8,5,8,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,68840,4,8,1,10,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,340581,4,8,4,6,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,1532,4,8,4,2,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,27925,4,8,5,5,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,333954,4,7,5,11,0.0,0.4286,0.0970638194612958,156.0,292.0,556.0
0,109,4,8,9,2,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,255648,4,8,5,3,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,166,4,7,5,5,0.0,0.4286,0.0970638194612958,156.0,292.0,556.0
0,12463,4,7,7,4,0.0,0.4286,0.0970638194612958,156.0,292.0,556.0
0,7618,4,8,5,6,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,16264,4,8,4,7,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,16263,4,8,7,5,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,192496,4,8,5,6,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
0,46370,4,8,5,3,0.0,0.5,0.0970638194612958,156.0,292.0,556.0
